frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
123,95,[873.8635864257812 1662.498046875 1524.259765625 2537.02685546875],truck,[1104.85107421875 2424.392822265625 1300.8287353515625 2483.203369140625],0.3401813507080078,134,0.7792483340701376
133,14,[852.4453125 2026.6143798828125 1553.09375 2689.149658203125],truck,[1082.230224609375 2570.443359375 1309.4791259765625 2634.97119140625],0.39989134669303894,EJZCMP,0.2546808842214209
138,14,[837.154541015625 2086.78759765625 1547.1417236328125 2770.680908203125],truck,[1107.68896484375 2658.213623046875 1317.7584228515625 2723.674560546875],0.756908655166626,JL,0.4469092930068056
141,14,[831.95849609375 2124.850830078125 1552.7862548828125 2831.744873046875],truck,[1104.803466796875 2718.105712890625 1318.6065673828125 2778.4833984375],0.4804758131504059,134,0.7197604946634091
142,14,[829.9447631835938 2135.09033203125 1531.9608154296875 2850.268310546875],truck,[1068.558837890625 2731.5693359375 1319.8154296875 2797.337158203125],0.2870786190032959,EJ4,0.12215004847708132
143,14,[826.6295166015625 2148.385009765625 1525.4315185546875 2868.104736328125],truck,[1101.83203125 2750.400146484375 1319.14013671875 2816.10009765625],0.5357500910758972,6JL,0.11467267140792463
144,14,[819.6892700195312 2157.446533203125 1557.851318359375 2882.78076171875],truck,[1089.083984375 2769.10546875 1319.13916015625 2841.411865234375],0.30775704979896545,3,0.3892081436130326
145,95,[815.164794921875 1703.4722900390625 1553.6658935546875 2901.8759765625],truck,[1103.52978515625 2796.361083984375 1293.856201171875 2859.655029296875],0.38123035430908203,PL,0.20784183552243748
146,95,[822.4400024414062 1712.4952392578125 1578.3770751953125 2924.89208984375],truck,[1043.115966796875 2813.341064453125 1305.9898681640625 2877.76123046875],0.5683691501617432,034,0.5762801548077652
147,95,[821.086181640625 1719.9949951171875 1580.680908203125 2951.79345703125],truck,[1079.80224609375 2842.431396484375 1300.1800537109375 2901.701171875],0.5759202837944031,A,0.17825409346482335
148,95,[815.2781372070312 1727.3240966796875 1555.0516357421875 2966.52734375],truck,[1094.909912109375 2851.769775390625 1303.1986083984375 2920.474365234375],0.3429551124572754,J4,0.16608087451539155
150,95,[810.7064819335938 1742.4339599609375 1593.9158935546875 3021.963134765625],truck,[1106.4766845703125 2905.365966796875 1295.9180908203125 2967.3193359375],0.6431557536125183,LJL,0.1277143087733955
151,95,[806.6519165039062 1749.91064453125 1610.851806640625 3042.876708984375],truck,[1059.054931640625 2923.1630859375 1317.1351318359375 2989.361083984375],0.4707435071468353,LJ4,0.06671975302916135
152,95,[799.433837890625 1755.7509765625 1619.2640380859375 3062.403076171875],truck,[1101.8382568359375 2944.283447265625 1300.01806640625 3010.3017578125],0.6759865283966064,EJU,0.07060612333518265
153,95,[797.1333618164062 1761.9921875 1624.8631591796875 3078.48046875],truck,[1060.0277099609375 2974.981689453125 1297.823486328125 3036.979736328125],0.35045185685157776,CNP,0.99676114320755
154,95,[793.7872924804688 1771.554443359375 1619.483154296875 3102.811767578125],truck,[1093.82958984375 2990.117919921875 1283.4140625 3056.804931640625],0.7284755110740662,34,0.7884774389302214
155,95,[793.7481079101562 1777.368896484375 1622.0775146484375 3128.873291015625],truck,[1041.3553466796875 3019.182373046875 1320.9588623046875 3083.15576171875],0.2826786935329437,3L,0.2010703349194567
165,14,[747.0903930664062 2505.8271484375 1629.01708984375 3398.035888671875],truck,[1116.0289306640625 3061.07373046875 1291.0546875 3126.33544921875],0.5893118381500244,JSKUZU,0.5124081483443561
166,14,[742.0389404296875 2524.9501953125 1652.445068359375 3424.690673828125],truck,[1068.556640625 3323.628662109375 1303.8614501953125 3385.99365234375],0.39186254143714905,JL,0.2589154790161157
167,14,[740.0046997070312 2545.75927734375 1642.8109130859375 3451.6982421875],truck,[1073.9906005859375 3359.709228515625 1295.421142578125 3418.058349609375],0.3111022114753723,3L,0.6303447488139531
168,14,[734.0429077148438 2569.651123046875 1642.51123046875 3481.337158203125],truck,[1094.984619140625 3378.7158203125 1303.4022216796875 3447.94580078125],0.7915984392166138,1,0.14744226997294518
170,14,[725.1421508789062 2615.027587890625 1703.589111328125 3547.20556640625],truck,[1104.941650390625 3205.33984375 1299.8695068359375 3272.16162109375],0.5612040758132935,ISKVZU,0.4727766156378395
